Organisation Name,Published Date,Title,Awarded Value
Leidos Supply Ltd,2016-02-01T12:48:05Z,Supply of Equine Saddlery and Harness,
N E L Commissioning Support Unit,2016-10-17T18:40:23Z,RTL055P - Veterans' Mental Health Services (2017),
"LEIDOS SUPPLY, LIMITED",2016-12-01T11:37:08Z,Supply of Chest Seals,
"Ministry of Defence, Agencies/Misc, Other",2020-02-06T12:30:59Z,"Supply of Jerricans, Lid Seals and Retaining Pins",
"Ministry of Defence, Agencies/Misc, Other",2020-02-07T11:40:10Z,"Supply of Jerricans, Lid Seals and Retaining Pins",
MINISTRY OF DEFENCE,2017-04-12T10:42:00Z,Programme CORTISONE - (for transparency purposes only),
MINISTRY OF DEFENCE,2019-06-05T10:26:28Z,The Provision of Civilian Vehicles for the Somali National Army (SNA) (60 Division),1088000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-07-06T14:57:05Z,IRM16/1263 - REPAIR AND MAINTENANCE SERVICES OF MOTOR VEHICLES AND ASSOCIATED EQUIPMENT,
"Ministry of Defence, C&C, C&C",2017-04-03T15:33:55Z,Provision of Ground School Instruction and SERE Training at RAF Valley,
"Ministry of Defence, C&C, Other",2015-12-03T12:57:01Z,Provision of Ground School Instruction and SERE Training at RAF Valley,
"Ministry of Defence, Helicopters, Special Projects Multi-Air Platform Project Team (SPMAP PT)",2018-04-09T06:51:27Z,Civil Oversight of Military Registered Air Systems,1000000.0
"Ministry of Defence, C&C, Other",2016-02-22T09:51:04Z,The Provision of a Verbatim Court Recording Service to the Military Court Services (MCS),1000000.0
"Ministry of Defence, Ships, Maritime Platform Systems (MPS)",2019-10-15T10:00:43Z,Machinery Controls and Surveillance- Lot 3,1000000.0
"Ministry of Defence, Helicopters, Special Projects Multi-Air Platform Project Team (SPMAP PT)",2017-10-22T10:03:06Z,Civil Oversight of Military Registered Air Systems,1000000.0
"Ministry of Defence, C&C, Other",2018-12-27T05:36:20Z,Provision of Military Operational Surgical Training,996232.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2019-10-22T12:00:48Z,700008161 - Hawk TMk1 Provision of a Collision Warning System,970000.0
MINISTRY OF DEFENCE,2019-09-24T12:48:31Z,DCC Technical Support - DCC Embeds,952380.0
BABCOCK INTERNATIONAL GROUP PLC,2017-06-29T09:44:45Z,The Supply of Military Spare Parts,905550.0
"Ministry of Defence, C&C, Defence Medical Services (DMS)",2017-09-17T09:39:10Z,Procurement of Military Performance Analysis and Research Laboratory (MPARL),888000.0
"Ministry of Defence, C&C, Defence Medical Services (DMS)",2018-02-05T13:24:21Z,Procurement of Military Performance Analysis and Research Laboratory (MPARL),884000.0
"Ministry of Defence, DSG",2015-02-10T23:44:01Z,United Kingdom-Telford: Military vehicles and associated parts,
BABCOCK INTERNATIONAL GROUP PLC,2019-06-24T15:00:05Z,Supply of General Military Consumables - Specialist Weapon Equipment Spares,7500000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-09-19T13:49:42Z,SUPPLY OF GENERAL MILITARY CONSUMABLES - MISCELLANEOUS SPARES,3780000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-10-25T13:57:22Z,Supply of General Military Consumables - Lifting/ Straps / Ropes Spares,0.0
BABCOCK INTERNATIONAL GROUP PLC,2017-02-24T14:37:47Z,SUPPLY OF MILITARY RELATED SPARE PARTS AND ASSOCIATED ITEMS,
BABCOCK INTERNATIONAL GROUP PLC,2019-10-17T08:14:51Z,Supply of General Military Consumables - Electrical Spares,5430000.0
BABCOCK INTERNATIONAL GROUP PLC,2017-07-20T15:55:05Z,The Supply of Military Related Spare Parts & Associated Items - Major Platform Related items,856000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2019-03-08T10:18:02Z,The Repair & Remanufacture of various vehicle transmissions & associated items,
MINISTRY OF DEFENCE,2017-08-31T12:26:23Z,"Supply of Two-Man Collapsible Craft, Paddles, Spares and Associated Ancillaries",1180953.0
BABCOCK INTERNATIONAL GROUP PLC,2017-11-10T12:02:06Z,The Supply of Military Spare Parts and Associated Items - Electronic Component Related,762692.0
MINISTRY OF DEFENCE,2015-11-19T12:43:54Z,Supply of Military vehicles and associated parts,477000.0
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2016-12-03T07:15:05Z,PAC ABP Independent Tester,750000.0
MINISTRY OF DEFENCE,2015-12-02T11:39:44Z,Supply of Military vehicles and associated parts,750000.0
BABCOCK INTERNATIONAL GROUP PLC,2017-06-29T10:40:29Z,The Supply of Military Spare Parts,736324.0
"Ministry of Defence, C&C, Other",2016-01-29T06:45:04Z,CB/BFG/0097 Provision of Paint Spraying Capability British Forces Germany,701500.0
"Ministry of Defence, Land Equipment, Armoured Vehicles Programmes - Artillery Systems Programme",2018-12-22T09:41:13Z,Repair of the Light Gun Battery Power Management System,
"Ministry of Defence, C&C, Military Aviation Authority (MAA)",2018-12-13T15:21:12Z,THE PROVISION OF TECHNICAL SUPPORT FOR DAOS/MAOS,700000.0
"Ministry of Defence, Ships, Maritime Platform Systems (MPS)",2020-01-27T07:10:07Z,Supply and Support of T23 Pneumatic Temperature Controllers,700000.0
"Ministry of Defence, Ships, Maritime Platform Systems (MPS)",2020-03-22T14:10:05Z,Supply and Support of T23 Pneumatic Temperature Controllers,700000.0
MINISTRY OF DEFENCE,2016-06-29T07:35:00Z,Provision of Air Transport for Military Passengers and Passengers from Other Government Departments to Move Between the UK and Germany,699115.0
MINISTRY OF DEFENCE,2018-06-11T15:59:18Z,The Provision of Forage to MOD Military Working Horses - Feed,667474.1
Yorkshire and Humber Police Procurement (Y&HPP),2018-11-17T13:00:53Z,Pilot Instrument Rating (NPAS),
Yorkshire and Humber Police Procurement (Y&HPP),2019-06-08T17:31:16Z,Pilot Instrument Rating (NPAS),639765.0
BABCOCK INTERNATIONAL GROUP PLC,2017-07-03T10:27:13Z,The Supply of Military Spare Parts and Associated Items,638328.0
MINISTRY OF DEFENCE,2015-12-03T14:12:38Z,Provision of Defence Medic PHEC/Acute Trauma Placements,633600.0
"Ministry of Defence, C&C, Other",2016-01-25T08:45:06Z,Provision of Defence Medic PHEC/Acute Trauma Placements,633600.0
"Ministry of Defence, C&C,",2015-12-06T10:09:01Z,Provision of Defence Medic PHEC/Acute Trauma Placements,
MINISTRY OF DEFENCE,2016-01-19T14:51:21Z,"Military Use of National Shooting Centre (NSC) Ranges, Bisley",615000.0
"LEIDOS SUPPLY, LIMITED",2017-03-02T14:52:31Z,The Supply of Airworthiness Medical Equipment Testing,
CROWN COMMERCIAL SERVICE,2016-03-03T15:37:57Z,Provision of Consultancy for the Total Support Force Programme,598864.0
"Ministry of Defence, C&C, Other",2016-01-17T13:15:03Z,"CB/BFG/0108 Provision of Bulk Fuel Carrying Vehicle Testing, Certification & Repair British Forces Germany",
"Ministry of Defence, C&C, Other",2016-05-27T10:51:06Z,"CB/BFG/0108 Provision of Bulk Fuel Carrying Vehicle Testing, Certification & Repair British Forces Germany",569000.0
BABCOCK INTERNATIONAL GROUP PLC,2017-07-20T15:43:35Z,The Supply of Military Related Spare Parts & Associated Items - Major Platform Related items,564000.0
"Ministry of Defence, C&C, C&C",2019-09-01T14:10:07Z,700005927 - PROVISION OF MEDICAL RECORD SERVICES FOR ARMY PERSONNEL CENTRE (GLASGOW).,
BABCOCK INTERNATIONAL GROUP PLC,2017-09-14T12:06:38Z,The Supply of Military Spare Parts and Associated Items - Electronic Component Related,544000.0
MINISTRY OF DEFENCE,2019-07-23T17:03:57Z,TRANSPARENCY NOTICE: - Procurement of Ballistic Shields,534000.0
MINISTRY OF DEFENCE,2019-03-28T17:22:04Z,Contract Award: Accreditation of Military Engineer Geographic Technician Training as a BSc in Geospatial Intelligence,506000.0
MINISTRY OF DEFENCE,2016-01-18T16:32:00Z,Recovery of up to 48 Viking Gliders,900000.0
"Ministry of Defence, ISTAR, Force Protection Project Team",2015-10-30T08:12:06Z,Procurement of military working dogs with canine protect and detect capabilities,550600.0
MINISTRY OF DEFENCE,2015-10-29T12:07:10Z,The Provision of a Verbatim Court Recording Service to the MCS,500000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2019-09-14T12:40:03Z,"IRM18/5962 Supply of General Military Consumables -  Metal, plates and Signs  Spares",494000.0
"Ministry of Defence, C&C, C&C",2018-07-01T08:00:16Z,JFC7a/00039 PROVISION OF GENERAL PRACTITIONER AND OCCUPATIONAL HEALTH SERVICES TO WATTISHAM AIRFIELD,483000.0
MINISTRY OF DEFENCE,2015-10-08T14:39:28Z,Procurement of spares for misc electrical and electronic components used on military vehicles,477000.0
BABCOCK INTERNATIONAL GROUP PLC,2017-07-03T10:46:52Z,The Supply of Military Spare Parts and Associated Items,462325.0
DEFENCE EQUIPMENT & SUPPORT,2015-11-25T16:43:02Z,Land Vehicle Exercise (LVEX) - Active Camouflage SBRI Phase 2,460489.0
MINISTRY OF DEFENCE,2019-12-18T14:53:03Z,"Military Use of National Shooting Centre (NSC) Ranges, Bisley",436000.0
MINISTRY OF DEFENCE,2016-01-15T12:49:09Z,Beechwood Equipment Combined Support,433333.0
BABCOCK INTERNATIONAL GROUP PLC,2017-07-19T11:58:35Z,Supply of Military related spare parts and associated items,408110.95
DEFENCE EQUIPMENT & SUPPORT,2016-06-30T11:23:04Z,Provision of Support to RN Oceanographic Equipment,
MINISTRY OF DEFENCE,2016-08-22T12:54:07Z,FEASIBILITY STUDY AND IMPLEMENTATION PLAN FOR USE OF MILITARY WHITE SPACE RADIO SPECTRUM,400000.0
"Ministry of Defence, C&C, C&C",2020-03-14T12:40:11Z,Provision of Environmental Health Training,
MINISTRY OF DEFENCE,2016-03-18T08:47:59Z,Contract Award,373000.0
MINISTRY OF DEFENCE,2015-10-20T09:43:19Z,Award of CB/BFG/0097 Provision of Paint Spraying Capability British Forces Germany,701500.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-06-23T13:27:05Z,Repair of Radiators and CVR(T) Fans fitted to the Bulldog/CVRT fleet.,
"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",2015-11-12T11:51:12Z,Demand Order Repair of Avionic Electrical Equipment,350000.0
BABCOCK INTERNATIONAL GROUP PLC,2016-03-10T15:28:02Z,The Repair and maintenance services of military vehicles. Repair of various Jackal & Coyote Vehicle Fleet items and associated items as used on the Protected Military Vehicle Programme,
BABCOCK INTERNATIONAL GROUP PLC,2019-09-26T13:52:24Z,Supply of General Military Consumables - Hydraulic and Pipe Spares,264000.0
MINISTRY OF DEFENCE,2017-05-19T13:44:30Z,For Transparency Purpose Only - Provision of Accreditation of Royal Navy Petty Officer Air Engineering Technician Qualifying Courses at HMS Sultans,
BABCOCK INTERNATIONAL GROUP PLC,2019-10-17T08:58:34Z,Supply of General Military Consumables - Fastener Spares,682000.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2018-11-30T13:09:13Z,Spectradynamics Cold Rubidium Clock,347000.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2018-12-14T09:45:14Z,Spectradynamics Cold Rubidium Clock,347000.0
CROWN COMMERCIAL SERVICE,2017-03-28T16:12:45Z,Provision of Hardware for NATO Federated Mission Network (FMN),334788.1
MINISTRY OF DEFENCE,2018-06-13T17:38:15Z,Supply Installation Commission and Maintenance of Load Bank and Switch Gear for Diesel Generator at HMS Sultan,315002.0
MINISTRY OF DEFENCE,2017-03-23T15:32:02Z,For Transparency Purposes Only - Provision of Accreditation for Artificer Training at MOD Lyneham for the Period 1 April 2017 to 31 March 2020 with a Further Option Period of up to 2 Years,307200.0
MINISTRY OF DEFENCE,2019-04-16T12:00:55Z,Tempus Pro Specialist Support - Defence Medical Security Accreditor and Business Analyst,304410.0
"Ministry of Defence, Land Equipment, Operational Infrastructure Programme (OIP)",2016-02-25T13:57:01Z,Post Design Services for Logistics Support Bridge,
"Ministry of Defence, Combat Air, Fast Air Support Team (FAST)",2019-05-02T08:27:07Z,Master Maintenance Review for BBMF Chipmunk Aircraft,300000.0
MINISTRY OF DEFENCE,2019-08-14T11:40:04Z,TRANSPARENCY NOTICE: Master Maintenance Review for BBMF Chipmunk Aircraft.,300000.0
"Ministry of Defence, Land Equipment, Armoured Vehicles Programmes - Artillery Systems Programme",2018-10-26T13:14:11Z,Repair of the Light Gun Battery Power Management System,
BABCOCK INTERNATIONAL GROUP PLC,2019-01-15T13:30:15Z,REMANUFACTURE  FOR RADIATORS AND CVR(T) FANS - BULLDOG/CVRT,
BABCOCK INTERNATIONAL GROUP PLC,2019-01-15T13:39:27Z,Repair of Warrior Hydraulic Pumps and Motors,
DEFENCE RELATIONSHIP MANAGEMENT,2018-11-27T11:32:47Z,TRANSPARENCY  - Provision of Peroxide-Based Training Aids for Military Working Dogs,293045.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-07-14T12:15:05Z,"IRM17/1328 - Repair of Challenger 2 (Cr2), Warrior (Combat Vehicle Reconnaissance (Tracked) CVR(T) and Titan/Trojan (T2) Vehicular  Seats",
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-07-14T12:57:05Z,"IRM17/1328 - Repair of Challenger 2 (Cr2), Warrior (Combat Vehicle Reconnaissance (Tracked) CVR(T) and Titan/Trojan (T2) Vehicular  Seats",
"Ministry of Defence, Air Support, Military Aviation Authority (MAA)",2020-03-23T07:30:26Z,Certification Training for Overview & Practioner Course,280000.0
MINISTRY OF DEFENCE,2019-06-20T09:02:12Z,"Provision of Horseshoes, Nails and Steel for Mounted Units of the Household Division",280000.0
"Ministry of Defence, C&C, C&C",2019-05-17T08:51:32Z,Provision of Temporary Stabling for Military Working Horses,277000.0
Ministry Of Defence,2019-05-14T11:24:36Z,AWARDED CONTACT - Provision of Temporary Stabling for Military Working Horses,277000.0
"Ministry of Defence, C&C, C&C",2020-03-16T08:40:02Z,Provision of Social Work Services for British Forces South Atlantic Islands,270000.0
"Ministry of Defence, C&C, C&C",2020-03-20T09:10:02Z,Provision of Social Work Services for British Forces South Atlantic Islands,270000.0
"Ministry of Defence, C&C, C&C",2020-03-20T14:10:02Z,Provision of Social Work Services for British Forces South Atlantic Islands,270000.0
"Ministry of Defence, C&C, C&C",2020-03-19T15:20:04Z,Provision of Social Work Services for British Forces South Atlantic Islands,270000.0
"Ministry of Defence, C&C, C&C",2020-01-13T13:20:05Z,Provision of Social Work Services for British Forces South Atlantic Islands,
MINISTRY OF DEFENCE,2016-02-05T13:43:48Z,*FOR TRANSPARENCY ONLY* - MEDICAL EQUIPMENT AIRWORTHINESS TESTING,
MINISTRY OF DEFENCE,2020-02-25T11:40:10Z,"DInfoCom/0109 - PROVISION OF HARDWARE, SOFTWARE & SUPPORT FOR SPCB",266807.38
"Ministry of Defence, C&C, Other",2016-08-15T06:45:03Z,RCDS Strategy Exercise and Contracted Support,253000.0
MINISTRY OF DEFENCE,2016-03-04T09:16:01Z,RCDS Strategy Exercise and Contracted Support,
"Ministry of Defence, Land Equipment, Special Projects SCM (SPSCM)",2019-03-03T14:57:10Z,Hazardous Environmental Search Equipment (HESE) In Service Support,
"Ministry of Defence, Land Equipment, Special Projects SCM (SPSCM)",2019-08-04T00:00:15Z,Hazardous Environmental Search Equipment (HESE) In Service Support,164000.0
MINISTRY OF DEFENCE,2018-03-28T17:09:10Z,"Project STRIKE Hotspot (SHS) accreditation, Common Operating Picture (COP) and support to Joint War-Fighter Assessment (JWA) 2018",249000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-09-17T15:03:21Z,"Supply of General Military Consumables - Metal, Plates and Sign Spares",494000.0
Medway Council,2016-02-09T13:57:24Z,Chatham Placemaking Project: Detailed Design,
MINISTRY OF DEFENCE,2017-11-09T11:53:18Z,FOR TRANSPARENCY PURPOSES ONLY.  Supply Installation Commission and Maintenance of Load Bank and Switch Gear for Diesel Generator at HMS Sultan,
Ministry Of Defence,2019-01-14T15:59:48Z,Provision of Continuous Attitude Surveys to Defence Medical Services,224000.0
MINISTRY OF DEFENCE,2016-05-05T14:22:55Z,"Provision of air transport for military passengers and passengers from other government departments, between New Zealand and South East Asia",222000.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2017-06-15T13:48:07Z,Renewal of Jane's Defence Subscription,211971.6
Newcastle City Council,2015-04-24T14:47:28Z,T002 - Walltown Craggs Visitors Centre - Refurbishment & Alterations,
Newcastle City Council,2015-04-22T14:45:17Z,T002 - Walltown Craggs Visitors Centre - Refurbishment & Alterations,
Derby City Council,2016-07-20T14:29:53Z,TD1118-Provision of Professional Services in relation to the Low Carbon Transport Technology Centre Pilot Project,200000.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2019-04-06T13:15:24Z,Renewal of Jane's Defence Subscription,190571.91
Ministry of Justice.,2017-02-21T21:24:11Z,Grant Fund Opportunity - First Step Fund,
"Ministry of Defence, Combat Air, Fast Air Support Team (FAST)",2016-04-16T09:24:04Z,Post Design Services for the Battle of Britain Memorial Flight Chipmunk Aircraft,186894.15
"Ministry of Defence, Combat Air, Fast Air Support Team (FAST)",2015-12-17T15:15:13Z,Post Design Services for the Battle of Britain Memorial Flight Chipmunk Aircraft,186894.15
MINISTRY OF DEFENCE,2017-03-09T13:30:37Z,EA to Conduct Preferred Choice Modelling Analysis for Armed Forces People Programme,185000.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2018-03-26T11:36:15Z,Renewal of Jane's Defence Subscription,180284.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2018-04-08T14:39:08Z,Renewal of Jane's Defence Subscription,180284.0
"Ministry of Defence, DSTL, Defence Science & Technology Laboratory (DSTL)",2017-07-01T07:18:12Z,Renewal of Jane's Defence Subscription,176643.0
SINGLE SOURCE REGULATIONS OFFICE,2019-01-23T17:15:23Z,Finance & HR Outsourced Services,
MINISTRY OF DEFENCE,2016-11-02T11:52:39Z,The Provision of Professional Accreditation of the Fleet Air Arm as a Military Aviation Authority,174702.43
"Ministry of Defence, C&C, C&C",2020-02-24T12:00:56Z,CY Episkopi - PROVISION OF FUEL AGENCY CARDS FOR EAST AND WEST SOVEREIGN BASE AREAS BRITISH FORCES CYPRUS,
"Ministry of Defence, Air Support, A400M Project Team",2016-02-13T07:15:01Z,A400M Aircraft Document Sets Assistance to Flight Ops Documentation Management,448500.0
MINISTRY OF DEFENCE,2019-10-07T10:08:16Z,PROVISION OF THE DEVELOPMENT & DELIVERY OF AN OFFLINE TRANSLATION SERVICE,157000.0
Plymouth City Council,2019-08-15T07:44:35Z,Mayflower Week Temporary Stage Structure,
"Ministry of Defence, Agencies/Misc, Other",2019-10-07T09:00:09Z,MINERVA Man Overboard Detection System,
"Ministry of Defence, C&C, Defence Medical Services (DMS)",2019-09-22T15:40:05Z,Provision of Alcohol Health Promotion and SME Support Service,150000.0
MINISTRY OF DEFENCE,2018-07-23T17:03:59Z,"The supply of a Military Oil Analysis Spectrometer Model SpectrOil M/N-W with Auto Sampler and additional service, calibration and support for 5 years",144428.0
DEFENCE EQUIPMENT & SUPPORT,2018-11-27T10:52:34Z,DSCOM/2220/1806,146000.0
"Ministry of Defence, C&C, C&C",2018-07-30T08:24:09Z,"The supply of a Military Oil Analysis Spectrometer Model SpectrOil M/N-W with Auto Sampler and additional service, calibration and support for 5 years",144428.0
MINISTRY OF DEFENCE,2019-11-25T09:46:35Z,Whole Aircraft Charter to move cargo from Brunei to Bangkok,141000.0
CROWN COMMERCIAL SERVICE,2016-01-22T14:37:24Z,Provision of Consultancy Support for 2020 Military BAME/ Gender Recruitment Targets,137080.0
"Ministry of Defence, C&C, C&C",2017-07-13T13:54:07Z,Real Life Support Provision for Watchkeeper Operational Field Trials,130000.0
MINISTRY OF DEFENCE,2020-01-10T09:01:07Z,DInfoCom/0096 - PROVISION OF INNOVATION ARCHITECT,123000.0
MINISTRY OF DEFENCE,2016-08-31T13:52:54Z,SBRI Challenge - Enhanced Equipment Protective Equipment (EIPE)-Phase 2,196291.0
MINISTRY OF DEFENCE,2019-03-04T15:20:31Z,Whole Aircraft Charter to transport military passengers and passengers from other government departments,108663.2
MINISTRY OF DEFENCE,2016-05-26T13:10:46Z,Whole Aircraft Charter to Move Passengers Between Eastern Europe and the UK,107500.0
MINISTRY OF DEFENCE,2019-07-24T11:54:47Z,Provision of Emergency Airfield Cover for Boscombe Down Aerodrome,107000.0
MINISTRY OF DEFENCE,2016-10-25T14:29:33Z,Provision of air transport for military passengers and passengers from other Government departments to move between Japan and South Korea,105000.0
UK SHARED BUSINESS SERVICES LIMITED,2018-04-27T10:48:41Z,UKRI SSARE18005 Antarctic Fuel Bladders,103073.71
CORNWALL COUNCIL,2015-03-24T09:59:19Z,Airport Operational Database Management System,300000.0
Torbay Council,2015-07-29T09:11:32Z,Consultant for Air Show June 2016,
The University of Warwick,2015-06-16T15:01:49Z,Very Light Rail Vehicle (VLR) Project,
The University of Warwick,2015-12-07T09:28:51Z,Very Light Rail Vehicle (VLR) Project - AWARD,35000.0
University of Warwick,2015-12-07T15:45:16Z,Very Light Rail Vehicle (VLR) Project.,38902.0
FCO Services,2019-04-10T15:09:22Z,"Counter-Explosive Ordanance, Defence - DPS",
Defence Science & Technology Laboratory (DSTL),2018-08-13T14:55:15Z,GB-Salisbury: DATA ACQUISITION SYSTEMS (DAS) FOR VIBRATION AND NOISE,96893.4
MINISTRY OF DEFENCE,2015-07-01T10:44:37Z,INTERIM PROVISION FOR VALIDATION OF AN EMT L4 AWARD FOR A NEW DEFENCE MEDIC COURSE WITH DEFENCE COLLEGE OF HEALTHCARE EDUCATION AND TRAINING (DCHET).,96500.0
DSTL,2017-09-06T14:42:07Z,GB-Salisbury: BDF Phase 2,95000.0
"Ministry of Defence, C&C, C&C",2018-02-12T18:12:11Z,GB-Portsmouth: Purchase of a Global Positioning & Tracking System for RNLA with 5 years subscriptions and maintenance,95000.0
MINISTRY OF DEFENCE,2019-05-27T11:51:02Z,Provision of Equine Dentistry to London Military Working Horses,90500.0
Ministry Of Defence,2019-03-08T14:06:28Z,Provision of Equine Dentistry Services to Military Working Horses,
English Heritage-Estates,2019-02-19T20:14:22Z,Dymchurch Martello Tower 24 Conservation Repair Work 2019,
The Council of the Borough of Bournemouth,2018-05-02T14:34:54Z,The Provision of Generators at the Bournemouth Air Festival,
"Ministry of Defence, C&C, Other",2016-09-05T08:06:03Z,GB-Andover: Provision of a Witness Support Service to the military Court Service (MCS),90000.0
MINISTRY OF DEFENCE,2017-06-15T09:27:43Z,Transparency notice - FATS STS tasking,89500.0
SINGLE SOURCE REGULATIONS OFFICE,2019-11-05T11:08:47Z,Security and information Risk Advisor (SIRA) services,
MINISTRY OF DEFENCE,2015-12-15T17:14:10Z,SBRI Challenge - Enhanced Individual Protective Equipment,82674.0
MINISTRY OF DEFENCE,2016-02-24T13:16:20Z,SBRI  Challenge - Fuels and Lubricants,82469.0
"Ministry of Defence, ISTAR, Other",2016-04-12T10:33:02Z,GB-Bristol: SBRI Challenge - Fuel and Lubricants,82469.0
MINISTRY OF DEFENCE,2016-02-23T15:20:56Z,SBRI Challenge - Non Destructive Evaluation (NDE),81533.0
"Ministry of Defence, ISTAR, Other",2016-04-12T11:00:03Z,GB-Bristol: SBRI Challenge - Non Destructive Evaluation,81533.0
Northumberland National Park Authority,2017-08-01T17:45:05Z,THe Sill Cleaning Contract,78392.0
MINISTRY OF DEFENCE,2018-06-11T16:08:13Z,The Provision of Forage to MOD Military Working Horses - Supplements,75270.0
Northumberland National Park Authority,2017-06-02T17:45:06Z,The Sill Facilites Management Mechanical and Electrical Services,
Northumberland National Park Authority,2017-06-02T17:45:05Z,The Sill Cleaning Contract,
Northumberland National Park Authority,2017-06-16T17:45:10Z,The Sill Facilities Management Contract,
DE&S Puma & Gazelle Project Team,2015-07-03T08:00:01Z,GB-Bristol: Manufacture of Puma MK2 Aircraft Covers,72900.0
MINISTRY OF DEFENCE,2015-05-28T10:12:06Z,Supply of wire rope assemblies for military vehicles,71476.84
MINISTRY OF DEFENCE,2015-05-28T12:19:42Z,Supply of wire rope assemblies for military vehicles,71476.84
Education and Training Foundation,2018-05-30T17:45:12Z,The Further Forces Programme - Business Development and Recruitment Activity,
SINGLE SOURCE REGULATIONS OFFICE,2019-07-31T17:38:22Z,Board Management Software,
BABCOCK INTERNATIONAL GROUP PLC,2017-07-20T15:33:06Z,The Supply of Military Related Spare Parts & Associated Items - Major Platform Related items,67000.0
Defence Science And Technology Laboratory,2016-01-13T16:22:53Z,CDE37102 - 3D hydrographics; a new technology to intergrate electronics & smart stealth technologies onto military equipment,66669.0
Bassetlaw District Council,2016-01-20T14:16:52Z,Erewash Borough Council - Tender for the provision of Security Services,68500.0
CROWN COMMERCIAL SERVICE,2016-03-10T14:55:42Z,SO16707 Provision of the supply of Charter System Licenses  (RCA108988),63025.66
MINISTRY OF DEFENCE,2015-10-27T12:38:16Z,FOR THE PROVISION OF PHEC CLINICAL  PLACEMENTS FOR COHORT 2 OF DEFENCE MEDIC (DM) PROGRAMME DELIVERED BY DCHET,62040.0
MINISTRY OF DEFENCE,2016-01-07T14:21:07Z,PATSY CONCEPT PHASE SUPPORT,97536.0
Northumberland National Park Authority,2017-06-19T17:45:12Z,THe Sill Cleaning Contract,
Richmondshire District Council,2018-08-21T12:36:16Z,New Website Design and Implementation for Richmondshire District Council.,60000.0
RICHMONDSHIRE DISTRICT COUNCIL,2016-11-22T12:12:45Z,New Website Design and Implementation for Richmondshire District Council,60000.0
SINGLE SOURCE REGULATIONS OFFICE,2019-01-25T11:20:40Z,Legal Services Framework,250000.0
MINISTRY OF DEFENCE,2015-11-27T09:47:02Z,Understanding Defence Audiences - Discovery Phase,51000.0
MOD,2015-11-27T08:18:01Z,GB-Glasgow: Understanding Defence Audiences - Discovery Phase,51000.0
DEPARTMENT FOR EDUCATION,2016-05-26T15:59:21Z,Character Education Grant 2016-17,
"Ministry of Defence, C&C, Other",2017-02-27T10:45:03Z,DE-BIELEFELD: CB/BFG/0120 - Supply of Industrial Gases to BFG,50000.0
MINISTRY OF DEFENCE,2018-06-22T12:01:12Z,TRANSPARENCY NOTICE ONLY - DELIVERY OF THE BUSINESS SKILLS ELEMENT OF THE RCDS COURSE - 2018,47000.0
MINISTRY OF DEFENCE,2016-05-18T06:18:31Z,"Provision of Logistics Support to Ex-Dragon REMEC, Greenland",46480.97
Sefton Council,2019-08-06T11:28:34Z,Between Land & Sea Interpretation Project,43455.0
MINISTRY OF DEFENCE,2017-05-02T16:56:35Z,Provision of DDC News Press Management System,45852.0
"Ministry of Defence, C&C, HOCS",2017-05-02T16:36:04Z,GB-GLASGOW: HOCS3b/00055 - Provision of DDC News Press Management System,45852.0
THE UNITED KINGDOM SPORTS COUNCIL,2016-09-09T07:59:10Z,Coaching/Flight Simulator,45200.0
Met Office,2018-12-10T15:33:13Z,Met Office Forecasting Service Delivery Frontline Office Refurbishments - Decorating,
UK SHARED BUSINESS SERVICES LIMITED,2017-08-03T15:30:06Z,Armed Forces' Pay Review Body (AFPRB) - Review of the X-Factor,40500.0
MINISTRY OF DEFENCE,2018-01-09T08:37:30Z,Provision of Temporary Marquees and Infrastructure,43889.64
DEFENCE RELATIONSHIP MANAGEMENT,2018-12-11T11:04:40Z,Provision of Digital Delivery Change,43600.0
National Army Museum,2016-02-12T09:18:42Z,Supply of Temporary Demountable Exhibition Showcases,
MINISTRY OF DEFENCE,2019-07-01T13:59:46Z,Military Working Dogs Underwater Treadmill Hydrotherapy Unit & Maintenance Contract,37027.0
Met Office,2018-12-05T10:56:40Z,Met Office Forecasting Service Delivery Frontline Office Refurbishments - Furniture Installation,
