"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
1029619208,Contract,"Sunderland City Council",Closed,2015-10-13T08:08:07Z,"Framework for the Provision of Civil Engineering and Infrastructure Works","Sunderland City Council acting on behalf of the North East Procurement Organisation (NEPO) are looking to put in place a framework for the provision of Civil Engineering and Infrastructure works for a period of 4 years. The framework will be split into lots. The Lot breakdown and minimum number of organisations that it is envisaged will be awarded against each lot is shown below:   Lot No. Description No. of contractors on Lot 1 Infrastructure works below £1m 8 2 Infrastructure works £1m to £5m 8 3 Infrastructure works above £5m 6 4 Highways works below £1m 8 5 Highways works £1m to £5m 8 6 Highways works above £5m 6 7 Marine, Coastal works below £1m 8 8 Marine, Coastal works £1m and above 6 9 Highways Structures works below £1m 8 10 Highways Structures works £1m to £5m 8 11 Highways Structures works above £5m 6 12 Drainage works £1m and below 8 13 Drainage works above £1m 6 14 Public Realms works £1m and below 8 15 Public Realms works above £1m 6   The projects let under this Framework may be of a Build or a Design and Build nature.   The specific projects that may be procured under the Framework cannot be clearly defined at this stage. These will be detailed in any mini competitions held following award of the framework.",,,"North East","45000000 45200000 45220000 45230000 45240000 ","Brian Henderson",brian.henderson@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7DN",UK,01915612363,https://www.qtegov.com/procontract/supplier.nsf,,"https://www.qtegov.com/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9YVB-C4PPA8 ","All completed Tender submissions must be submitted electronically via e-tender system NEPO portal. E-tendering only: www.qtegov.com/procontract/supplier.nsf Please note that Tenders will not be accepted via postal return, hand delivered, or by email. If you require assistance on submitting your Tender response please contact the Portal Administration Team on 0191 2613940. ",01/04/2016,31/03/2020,27/11/2015,NO,,No,No,No,Works,900000000,1500000000,,,,,,," ",
1848207640,Contract,"Sunderland City Council",Closed,2015-10-13T08:08:18Z,"Framework for the Provision of Civil Engineering and Infrastructure Works","Sunderland City Council acting on behalf of the North East Procurement Organisation (NEPO) are looking to put in place a framework for the provision of Civil Engineering and Infrastructure works for a period of 4 years. The framework will be split into lots. The Lot breakdown and minimum number of organisations that it is envisaged will be awarded against each lot is shown below:   Lot No. Description No. of contractors on Lot 1 Infrastructure works below £1m 8 2 Infrastructure works £1m to £5m 8 3 Infrastructure works above £5m 6 4 Highways works below £1m 8 5 Highways works £1m to £5m 8 6 Highways works above £5m 6 7 Marine, Coastal works below £1m 8 8 Marine, Coastal works £1m and above 6 9 Highways Structures works below £1m 8 10 Highways Structures works £1m to £5m 8 11 Highways Structures works above £5m 6 12 Drainage works £1m and below 8 13 Drainage works above £1m 6 14 Public Realms works £1m and below 8 15 Public Realms works above £1m 6   The projects let under this Framework may be of a Build or a Design and Build nature.   The specific projects that may be procured under the Framework cannot be clearly defined at this stage. These will be detailed in any mini competitions held following award of the framework.",,,"North East","45000000 45200000 45220000 45230000 45240000 ","Brian Henderson",brian.henderson@sunderland.gov.uk,"Civic Centre","Burdon Road",Sunderland,"SR2 7DN",UK,01915612363,https://www.qtegov.com/procontract/supplier.nsf,,"https://www.qtegov.com/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9YVB-C4PPA8 ","All completed Tender submissions must be submitted electronically via e-tender system NEPO portal. E-tendering only: www.qtegov.com/procontract/supplier.nsf Please note that Tenders will not be accepted via postal return, hand delivered, or by email. If you require assistance on submitting your Tender response please contact the Portal Administration Team on 0191 2613940. ",01/04/2016,31/03/2020,27/11/2015,NO,,No,No,No,Works,900000000,1500000000,,,,,,," ",
CA0135,Contract,"West Yorkshire Passenger Transport Executive",Closed,2016-04-21T08:30:46Z,"West Yorkshire Transport Fund - Specialist Professional Consultancy","West Yorkshire Combined Authority and the Leeds City Region Enterprise Partnership has secured a £1billion-plus Growth Deal to support growing businesses, develop a skilled and prosperous workforce, improve energy efficiency and create the housing and transport infrastructure for growth.

Within this Growth Deal, there are a number of schemes, predominantly highway, that will require specialist services over the coming years.  These services will be acquired through a framework that will then be subject to mini competition invited during the period by individual Districts as and when required.

The schemes and services are listed in the questionnaire.

The concluded contract will be open for use by the 22 local authorities within the Yorkshire and Humber region. Details of the authorities can be found at; http://local.direct.gov.uk/LDGRedirect/MapLocationSearch.do?mode=1.1&map=4

The total value of the scheme is £1,000,000,000.00. This notice is for the specialist consultancy only and forms part of the above value.",,,"Yorkshire and The Humber","71000000 ","Wayne Robinson",wayne.robinson@westyorks-ca.gov.uk,"40-50 Wellington Street","Wellington House",Leeds,"LS1 2DE",England,"0113 2517272",http://www.westyorks-ca.gov.uk,,"https://in-tendhost.co.uk/westyorkshireCA/aspx/Home ",,01/06/2016,01/06/2020,23/05/2016,NO,,Yes,No,No,Services,900000000,1000000000,,,,,,,"Restricted ",
LPP001-DN301168-13252367,Contract,"NHS London Procurement Partnership",Closed,2017-11-17T19:02:50Z,"Framework for the Procurement of                                     Facilities Management Services","This framework replaces both the 2015 Building & Maintenance Services Framework (LPP/2014/004) and the Soft Facilities Management Services Framework (LPP0028) in April 2017. This framework will consist of three lots; 
•	Lot 1 Total Managed  Service (Hard & Soft FM), 
•	Lot 2 Building & Engineering Services (Fully managed) and 
•	Lot 3, Soft FM (Fully Managed Service). 
This gives clients the opportunity to encompass their entire FM requirement with a single provider or have a fully managed service for either discipline.  Following market engagement and based on the rates of response to the previous frameworks, LPP have opted to offer single managed services for both hard and soft FM services along with the option to combine these",,,"Any region","50000000 79993000 ","Simon Williams",simon.williams@lpp.nhs.uk,"Ground Floor","200 Great Dover Street",London,"SE1 4YB","United Kingdom","+44 207188718855254",http://www.lpp.nhs.uk,,,,01/04/2018,31/03/2022,18/12/2017,NO,,No,No,No,Services,900000000,900000000,,,,,,,"Restricted ",
BIP72792227,Contract,"Ministry of Defence, IMOC, Other",Awarded,2019-04-11T09:34:38Z,"LCS(T)/0001 - Additional Commodities VEAT","The UK MOD intends to amend the LCS(T) contract, that it awarded to Leidos Europe Ltd in April 2015, to increase the scale of the procurement services role",,,"South West","79418000 ",,DESLD-StratComrcl@mod.gov.uk,"MOD Abbey Wood (South)",,Bristol,"BS34 8JH",England,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Procurement consultancy services.'.",16/05/2019,02/06/2028,06/05/2019,NO,,No,No,No,Services,900000000,0,18/02/2019,900000000,"[Leidos Europe Ltd|8 Monarch Court
        Bristol
        BS16 7FH|NONE||No|No]",,02/06/2015,02/06/2028,"Other .",
BIP179741981,Contract,"Wandsworth Borough Council",Closed,2016-01-14T20:51:07Z,"Winstanley and York Road Estates Regeneration","The Mayor and Burgesses of the London Borough of Wandsworth (the ""Council"") are seeking a joint venture partner to deliver the regeneration of a 13 hectare (32 acre) site immediately to the north of Clapham Junction Station. The site comprises the majority of the existing Winstanley and York Road Estates and presents an outstanding opportunity to deliver new, high quality housing alongside a range of community, leisure and commercial uses within a designated Housing Zone adjacent to Clapham Junction Station, one of the most important transport hubs in London.",,,London,"45212100 71242000 70111000 71000000 45211350 70332000 71541000 45100000 45211300 45211100 70331000 70332200 45211000 70112000 71240000 70000000 45213100 45211341 45111200 45210000 71500000 45212000 45215214 70110000 45212110 45111100 45000000 45211360 ","Nana Penseh",npenseh@wandsworth.gov.uk,"The Town Hall","Wandsworth High Street",London,"SW18 2PU",UK,+442088715073,,,"https://www.delta-esourcing.com/tenders/UK-UK-London:-Real-estate-services./M54258ZCQQ ",,01/06/2017,31/05/2046,12/02/2016,NO,,No,No,No,Services,900000000,0,,,,,,," ",
BIP44714465,Contract,"Ministry of Defence, Ships, Commercially Supported Shipping (CSS) Team",Closed,2016-07-07T09:06:01Z,"Commercially Supported Shipping (CSS) Future In Service Support (FISS) – Through Life Support Requirement","Repair and maintenance services of ships.",,,"South West","50241000 ",,DESShipsComrcl-CSS-FISS-Group@mod.uk,"Ash 2a #3203 Defence Equipment & Support","MoD Abbey Wood South",Bristol,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-Bristol: Repair and maintenance services of ships.'. ",23/06/2018,26/06/2023,22/12/2017,NO,,Yes,No,No,Services,900000000,0,,,,,,," ",
"LAA Crime Contract 2017",Contract,"LEGAL AID AGENCY",Awarded,2017-06-29T16:53:32Z,"Procurement of Criminal Legal Aid Services in England and Wales from 1 April 2017","The LAA, on behalf of the Lord Chancellor, is responsible for commissioning and administering legal aid services (publicly funded advice and representation) across England and Wales in accordance with the Legal Aid, Sentencing and Punishment of
Offenders Act 2012 and associated legislation. 

All contract documentation is issued by the LAA on behalf of the Lord Chancellor. The LAA invited Tenders, in each case for one of an unlimited number of Crime Contracts, for the delivery of publicly funded criminal legal aid services from 1 April
2017. 

Applicants whose Tenders are successful were awarded a Crime Contract, subject to satisfactorily verifying their Tender",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales","79100000 ",,civiltenders@legalaid.gsi.gov.uk,"102 Petty France",,London,SW1H9AJ,England,,,,"https://www.gov.uk/government/publications/legal-aid-crime-tender-2017 https://www.gov.uk/government/publications/standard-crime-contract-2017 ",,01/04/2017,31/03/2020,15/09/2016,NO,,No,No,No,Services,900000000,0,31/03/2017,0,"[Various Suppliers|https://www.gov.uk/government/publications/legal-aid-crime-tender-2017|||No|No]",,01/04/2017,01/04/2020,"Open ",
PQQ_28773,Contract,"DEPARTMENT FOR WORK AND PENSIONS",Awarded,2018-03-07T16:12:42Z,"DWP Estates Security Services","It is the intention of DWP as the Contracting Authority to put in place a contract for Security Services delivery across the DWP Estate. The services required will include security guarding, installation of new security systems, maintenance of existing security systems and security advice, along with any ancillary, related or incidental services. The DWP Estate currently consists of more than 900 properties with a variety of building usages, including Jobcentres Plus sites and Corporate Centres in central urban and remote rural locations throughout England, Scotland and Wales although the scope of properties covered by this contract will change during the life of the contract. The contracting authority reserves the right to award the contract on the basis of the initial tenders without conducting negotiations. 
The Selection Questionnaire is available on Bravosolution. Your tender response should be submitted via BravoSolution. If you are not a BravoSolution registered supplier, you must register with BravoSolution to bid - https://dwp.bravosolution.co.uk/web/login.shtml
 Helpline telephone number:0800 368 4850
 Helpline email: help@bravosolution.co.uk
 See Instructions to Potential Suppliers document for further information.
Once registered click the 'PQQs / ITTs Open To All Suppliers' link and select PQQ_28773 DWP Estates Security Services to access the content.",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Scotland,Wales","79000000 ",,SECURITY.SERVICESTEAM@DWP.GSI.GOV.UK,"Caxton House Tothill Street",,London,"SW1H 9NA",England,,,"DWP Estates Security Services Statement of Requirement DRAFT v0.1.pdf DWP Security Services Contract Redacted.zip "," ",,01/04/2018,31/03/2023,08/02/2017,YES,PQQ_28773,No,No,No,Services,900000000,0,27/11/2017,452000000,"[G4S SECURE SOLUTIONS (UK) LIMITED|Sutton Park House,15 Carshalton Road
SUTTON
SURREY
SM1 4LD
GB|COMPANIES_HOUSE|01046019|No|No]",,01/04/2018,31/03/2023,"CompetitiveProcedureWithNegotiationOJEU ",
BFDMDC001-DN386074-79454877,Contract,"Bradford Metropolitan District Council",Awarded,2019-11-14T13:20:16Z,"Silsden Primary School","Construction of a new build 3F (enhanced) entry primary school with all associated infrastructure works - roads, entrances, pitches/ball games area and landscaping.",,,"Yorkshire and The Humber","45000000 ","Balbir Birring",balbirl.birring@bradford.gov.uk,"3rd Floor","Britannia House, Hall Ings",Bradford,"BD1 1HX",England,"+44 1274433847",http://www.bradford.gov.uk/bmdc,,,,25/11/2019,26/02/2021,18/09/2019,NO,,No,No,No,Works,892907045,0,14/11/2019,8929070.45,"[Galliford Try Building Ltd|Galliford Try House, Pontefract Road, Normanton WF6 1RN|NONE||No|No]","Cliff Wheatley",25/11/2019,26/02/2021,"Restricted ",
FAR001-DN251499-87387127,Contract,"Fareham Borough Council",Closed,2017-03-24T13:44:13Z,"Welborne Garden Village","The Welborne site, located to the north of Fareham, forms a central role in the future delivery of both housing and economic growth for the sub-region.  It is proposed for predominantly residential development comprising circa 6,000 units, in addition to commercial, community and open space according to garden village principles.  There will also be major infrastructure requirements for a new community in Welborne, the most significant are the works required to improve Junction 10 of the M27 motorway to provide an all moves junction.  The Council's Executive approved in February 2016 a proposed delivery strategy to secure comprehensive development of Welborne with a land acquisition and Delivery Partner approach.  The Council is seeking to procure a capable and experienced partner with the requisite technical ability, experience, track record and financial capability who can bring forward all relevant skills needed to lead and undertake the development including the infrastructure works to create the new ""garden village"". The chosen partner will be able to have a considerable stake in this long term, major development opportunity.",,,"South East","45000000 70111000 70331000 71220000 71240000 71311210 79933000 90712100 ","Karen Richards",krichards@fareham.gov.uk,"Civic Offices","Civic Way",Fareham,"PO16 7AZ","United Kingdom","+44 1329824360",http://www.fareham.gov.uk,,,"
Please go to the South East Business Portal https://sebp.due-north.com/ for further information at documentation.",03/08/2017,03/08/2037,05/05/2017,NO,,No,No,No,Works,887000000,887000000,,,,,,," ",
ITT-30232,Contract,"SKILLS FUNDING AGENCY",Closed,2017-07-28T16:38:01Z,"APPRENTICESHIP TRAINING DELIVERY  FOR EMPLOYERS NOT USING THE DIGITAL ACCOUNT (NON-LEVY)","In October 2016 the Agency launched a procurement for apprenticeship training delivery for small and medium sized (SME) employers who do not pay the Apprenticeship Levy and have not registered an account on the apprenticeship service (""non-levy paying employers""). The procurement was substantially oversubscribed and the outcomes of that competition would not have delivered the diverse market sought whilst giving the sector as a whole stability in the transition to the apprenticeship service. That procurement is now closed and no awards will be made under it. It is therefore essential that those Potential Providers who submitted tenders in the previous procurement and who continue to wish to be considered for delivery of the Services, respond to this new procurement in accordance with the terms set out in the ITT  and the accompanying Attachments. This new procurement has been designed to ensure that government can better meet its objectives, and deliver high quality apprenticeship training to support the growth and success of SMEs that play such a vital role in our economy. It will do this by seeking to deliver a stable transition between now and April 2019, when we aim to bring all employers, including those who do not pay the levy, onto the apprenticeship service.  Through this procurement the Agency is seeking to award contracts for an Initial Contract Period of 15 months, starting 1 January 2018 and ending on 31 March 2019",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West","80000000 ",,Sourcing.HELP@education.gov.uk,"Cheylesmore House","Quinton Road",Coventry,"CV1 2WT",England,,,,,"Access to the ITT is by invitation only via Bravo e-tendering portal",01/01/2018,31/03/2019,04/09/2017,NO,,Yes,Yes,No,Products,865000000,0,,,,,,,"Restricted ",
BIP72882506,Contract,"Ministry of Defence, Ships, Other",Awarded,2019-04-26T10:21:10Z,"FMSP Naval Base Services at Devonport","The supplier is required to provide Naval Base Services at Her Majesty's Naval Base Devonport. These entail hard and soft facilities management, alongside services and logistics and warehousing operations for the Royal Navy.",,,"South West","34510000 ",,DESShipsFMSP-Comrcl@mod.gov.uk,#3030,"Cedar 0c",Bristol,"BS34 8JH",UK,+443067982784,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Ships.'.",01/04/2020,31/03/2027,01/04/2019,NO,,No,No,No,Services,860000000,0,01/04/2019,860000000,"[Devonport Royal Dockyard Limited|Devonport Royal Dockyard
        Plymouth
        PL1 4SG|NONE||No|No]",,01/04/2020,31/03/2027,"Other ",
METOFC001-DN452128-98367116,Contract,"Met Office",Closed,2020-02-17T12:00:17Z,"Supercomputing 2020+","The Met Office is seeking to procure supercomputing capability via the delivery of a fully integrated service from 2022 through to 2032.",,,"Any region","72000000 ",,supercomputing@metoffice.gov.uk,"Fitzroy Road",,Exeter,"EX1 3PB",England,,http://www.metoffice.gov.uk,,,,26/02/2021,31/08/2032,20/03/2020,NO,,No,No,No,Services,854000000,854000000,,,,,,,"CompetitiveDialog ",
TRAF001-DN299325-58700552,Contract,"Trafford Council",Closed,2017-09-20T17:01:21Z,"Children and Young People's Residential Placements Flexible Procurement System","The North West Local Authorities are developing a Flexible Procurement System (FPS) to facilitate the commissioning of high quality Children's Residential Placements. We are looking to knowledgeable and experienced providers to work with us to transform the lives of children, enabling them to break down barriers and turn challenging situations into positive ones. Through the FPS we are looking for sustainability, transformation and innovation with providers and Local Authorities and wider partners to work together to ensure each one of our children has the capacity, skills, independence and resilience they will need to meet the challenges of adult life in the 21st century.",,,"North West","85000000 ","Lynda Brookes",lynda.brookes@star-procurement.gov.uk,"1st Floor","Trafford Town Hall",Stretford,"M32 0TH",England,"+44 7876442963",http://www.trafford.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=730d3970-1b9e-e711-80e6-005056b64545 ",,02/01/2018,01/01/2028,25/10/2017,NO,,Yes,Yes,No,Services,850000000,1110000000,,,,,,,"Restricted ",
LGSS001-DN119775-96277233,Contract,"Cambridgeshire County Council",Awarded,2017-08-15T16:30:38Z,"Cambridgeshire County Council Highway Services","Cambridgeshire County Council has established a single contract providing both works and consultancy as a fully integrated highways service commencing on 1 July 2017.
The Contract is available to District, City, Town and Parish Councils within the administrative boundaries of Cambridgeshire County Council on an individual call-off basis.
The Contracting Authorities named in the OJEU contract notice (other than Cambridgeshire County Council) might wish to access the contract for the provision of some or all of the services. None of these Authorities makes any commitment to use this contract, but all wish to retain the option to do so. Access to this contract by the Authorities named in Paragraph I.1.above will be subject to agreement with the Contractor and Cambridgeshire County Council. The procedure type was competitive dialogue.",,,"East of England","71600000 50700000 77300000 50230000 80550000 90640000 34143000 45233000 50111000 63712000 45221100 45233139 45233140 45233229 45233130 63712200 71311210 71311220 ",,procurement@northamptonshire.gov.uk,"One Angel Square","Angel Street",Northampton,"NN1 1ED",England,,http://www.lgssprocurementportal.co.uk,,"https://procontract.due-north.com/Advert?advertId=ce5f0188-75dc-e511-810e-000c29c9ba21 ",,01/07/2017,30/06/2027,23/11/2015,NO,,No,No,No,Works,850000000,0,30/06/2017,323414503,"[Skanska UK|Maple Cross House, Denham Way, Rickmansworth WD3 9SW|||No|No]","Ms Sayuri Stockwell",01/07/2017,30/06/2027,"Other ",
