"Notice Identifier","Notice Type","orgName",Status,"publishedDate",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
BIP50121996,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Closed,2016-12-19T10:42:12Z,"IRM16/1319 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related","Babcock DSG Limited acting on behalf of the Authority has under consideration a 4 year Framework Agreement for the supply of military parts and associated items which includes but is not limited to the following NSN's.  The Authority may add items of a similar nature to the Framework Agreement if required during the contract period. 
      
      1005997872173	SHAFT,GUN BALANCING     
      1015993867217	LOADER,AUTO TUBE        
      2520993222736	TOP ROLLERS             
      2530990831904	SPINDLE                 
      2530996636208	WHEEL,IDLER             
      2530997861867	HUB,WHEEL,VEH           
      2530997900879	ROLLER ASSEMBLY         
      2530998155827	WHEEL,SOLID             
      2530998178169	WHEEL                   
      2530998267980	BRACKET,VEH COMPONENTS  
      2530998372795	SPINDLE,WHEEL,DRIV/NONDR
      2530998656162	ARM ASSEMBLY            
      2590992553294	TRUNNION                
      2590998275318	HINGE ASSY              
      3020996089885	SPROCKET,WHEEL          
      3020998656310	RING,SPROCKET           
      3040998821477	CONNECTING LINK,RIGID   
      3120999320268	BEARING,SLEEVE          
      4320997900864	RAM,HYDRAULIC           
      5120992560386	CLAMP,TRACK,VEHICULAR   
      5305994242776	SCREW,MACHINE           
      5305995771913	SETSCREW                
      5315992161841	PIN,SHOULDER,HEADLESS   
      5315997871624	PIN,STRAIGHT,HEADLESS   
      5315998608065	PIN                     
      5330999847464	GASKET                  
      5340993124343	PLUG,VENT               
      5340995002269	BRACKET                 
      
      Tenderers shall be provided with NATO Stock Numbers and manufacturers' part numbers and, using ISIS, shall be required to source and price the items in scope for the requirement. 
      
      Expressions of Interest to participate in this requirement are to be submitted on the DCO by completing the DPQQ.  The DPQQ shall be assessed on the DCO using the selection criteria given within the DPQQ and within each question.  Only those suppliers who provide all mandatory information and are not subject to a mandatory exclusion will be invited to tender.  
      
      The following code is required to access the DPQQ - 8BW8HH6D4S.",,,"West Midlands","35420000 ",,jason.green@babcockinternational.com,Donnington,,Telford,"TF2 8JT",UK,+441922673921,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Telford: Parts of military vehicles.'.",01/04/2017,31/03/2022,16/01/2017,NO,,Yes,No,No,Products,10000000,20000000,,,,,,,"Restricted ",
BIP50555362,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Closed,2017-01-09T08:51:09Z,"IRM16/1316 - The Supply of Military Related Spare Parts and Associated Items - Electronic Component Related","Dates to be corrected in the original notice:
        Place of dates to be added: IV.3.4
        Instead of: 16 January 2017 Time: 17:00
        Read: 16 January 2017 Time: 17:00
        Other additional information: The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.The Authority reserves the right to amend any condition related to security of information to reflect any changes in national law or government policy.  If any contract documents are accompanied by instructions on safeguarding classified information (e.g. a Security Aspects Letter), the Authority reserves the right to amend the terms of these instructions to reflect any changes in national law or government policy, whether in respect of the applicable protective marking scheme, specific protective markings given, the aspects to which any protective marking applies, or otherwise.  The link below to the Gov.uk website provides information on the Government Security Classification.
        
        https://www.gov.uk/government/publications/government-security-classifications
        
         Advertising Regime OJEU:- This contract opportunity is published in the Official Journal of the European Union (OJEU),the MoD Defence Contracts Bulletin and www.contracts.mod.uk
        Babcock DSG Limited acting on behalf of the Authority has under consideration a 5 year Framework Agreement for the supply of military parts and associated items which includes but is not limited to the following NSN's.  The Authority may add items of a similar nature to the Framework Agreement if required during the contract period. 
        
        The following is a sample of the 100+ NSN's which will be included in the ITT.
         
        6350998009746	SENSNG ELEMNT,FIRE DET S
        6350998385025	SNSNG ELEMT,FIRE DET SYS
        2590995413723	SOCKET ASSY             
        2590995803019	WIRING HARNESS          
        2590997923369	LEAD ASSY               
        2590997923410	LEAD ASSY               
        2590997923412	LEAD ASSY               
        6220995005721	SOCKET                  
        2590990104598	HARNESS                 
        2590990246889	HARNESS                 
        2590993161438	HARNESS                 
        2590995623632	INTERCONNECTING BOX     
        5995993824631	CABLE ASSEMBLY          
        6625997208588	AMMETER                 
        6680990519424	INDICATOR,LIQUID QTY    
        6680991471184	INDICATOR               
        6680995308641	INDICATOR,LIQUID QTY    
         
        This requirement will be split into lots.  Suppliers who progress to the Invitation to Tender Stage can bid for one lot, several lots or combination of lots.  A framework agreement covering all lots or framework agreements for individual or combination of lots will be awarded based upon the lowest priced combination for all lots over the 5 year contract period.
        
        Tenderers shall be provided with NATO Stock Numbers and manufacturers' part numbers and, using ISIS, shall be required to source and price the items",,,"West Midlands","35420000 ",,jason.green@babcockinternational.com,Donnington,,Telford,"TF2 8JT",UK,+441922673921,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Telford: Parts of military vehicles.'.",,,23/01/2017,NO,,Yes,No,No,Products,4500000,10000000,,,,,,,"Restricted ",
BIP50556253,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Closed,2017-01-09T08:54:04Z,"IRM16/1317 - The Supply of Military Related Spare Parts and Associated Items - Major Platform Related","Dates to be corrected in the original notice:
        Place of dates to be added: IV.3.4
        Instead of: 16 January 2017 Time: 17:00
        Read: 16 January 2017 Time: 17:00
        Other additional information: The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.The Authority reserves the right to amend any condition related to security of information to reflect any changes in national law or government policy.  If any contract documents are accompanied by instructions on safeguarding classified information (e.g. a Security Aspects Letter), the Authority reserves the right to amend the terms of these instructions to reflect any changes in national law or government policy, whether in respect of the applicable protective marking scheme, specific protective markings given, the aspects to which any protective marking applies, or otherwise.  The link below to the Gov.uk website provides information on the Government Security Classification.
        
        https://www.gov.uk/government/publications/government-security-classifications
        
         Advertising Regime OJEU:- This contract opportunity is published in the Official Journal of the European Union (OJEU),the MoD Defence Contracts Bulletin and www.contracts.mod.uk
        Babcock DSG Limited acting on behalf of the Authority has under consideration a 5 year Framework Agreement for the supply of military parts and associated items which includes but is not limited to the following NSN's.  The Authority may add items of a similar nature to the Framework Agreement if required during the contract period. 
        
        The following is a sample of the 100+ NSN's which will be included in the ITT:
        
        2510993621778	STRAP,DOOR CHECK,VHCLR  	
        2510999816527	STRAP,DOOR CHECK,VEHICUL	
        1040993378412	DISCHARGER,GRENADE      	
        1240990755501	COVER                   	
        1040993378412	DISCHARGER,GRENADE      	
        1240990755501	COVER                   	
        2540991532311	BUMPER,VEHICULAR        	
        2540998375580	COVER,VENTILATORY       	
        2540991532311	BUMPER,VEHICULAR        	
        2540998375580	COVER,VENTILATORY       	
        2530991560059	LINING,FRICTION         	
        2530997862633	VALVE BLOCK             	
        
        This requirement will be split into lots.  Suppliers who progress to the Invitation to Tender Stage can bid for one lot, several lots or combination of lots.  A framework agreement covering all lots or framework agreements for individual or combination of lots will be awarded based upon the lowest priced combination for all lots over the 5 year contract period.
        
        Tenderers shall be provided with NATO Stock Numbers and manufacturers' part numbers and, using ISIS, shall be required to source and price the items in scope for the requirement. 
        
        Expressions of Interest to participate in this requirement are to be submitted on the DCO by completing the DPQQ.  The DPQQ shall be assessed on the DCO usi",,,"West Midlands","35420000 ",,jason.green@babcockinternational.com,Donnington,,Telford,"TF2 8JT",UK,+441922673921,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Telford: Parts of military vehicles.'.",,,23/01/2017,NO,,Yes,No,No,Products,4500000,10000000,,,,,,,"Restricted ",
BIP50556717,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Closed,2017-01-09T08:57:04Z,"IRM16/1318 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related","Dates to be corrected in the original notice:
        Place of dates to be added: IV.3.4
        Instead of: 16 January 2017 Time: 17:00
        Read: 16 January 2017 Time: 17:00
        Other additional information: The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.The Authority reserves the right to amend any condition related to security of information to reflect any changes in national law or government policy.  If any contract documents are accompanied by instructions on safeguarding classified information (e.g. a Security Aspects Letter), the Authority reserves the right to amend the terms of these instructions to reflect any changes in national law or government policy, whether in respect of the applicable protective marking scheme, specific protective markings given, the aspects to which any protective marking applies, or otherwise.  The link below to the Gov.uk website provides information on the Government Security Classification.
        
        https://www.gov.uk/government/publications/government-security-classifications
        
         Advertising Regime OJEU:- This contract opportunity is published in the Official Journal of the European Union (OJEU),the MoD Defence Contracts Bulletin and www.contracts.mod.uk
        Babcock DSG Limited acting on behalf of the Authority has under consideration a 5 year Framework Agreement for the supply of military parts and associated items which includes but is not limited to the following NSN's.  The Authority may add items of a similar nature to the Framework Agreement if required during the contract period. 
        
        The following is a sample of the 100+ NSN's which will be included in the ITT.
         
        2530991318239	REMOVAL TOOL,END CONNECT
        2530994042350	ROPE TRACK              
        2530994588182	TOP HAT BUSH            
        2530998753044	CLAMP ASSEMBLY,TRACK    
        3020997901466	SPROCKET WHEEL 11 TEETH 
        4910996637613	TOOL,PAD REMOVAL        
        4910999681505	SHAFT,SHOULDERED        
        5120992154487	WEAR INDICATOR,UNIVERSAL
        5120992744263	SOCKET,SOCKET WRENCH    
        5315998788053	PIN,TOGGLE,HEADED       
        5340995011524	SNAP LINK,RAPPELLER     
        5340997714106	COVER PLATE             
        2540997802177	RADIATOR                
        2930996479591	RADIATOR,ENGINE COOLANT 
        2930998263016	FILLER CAP              
        2940998481250	REPLACEMENT FILTER ELEME
        4310991635842	COMPRESSOR              
        4940997537130	LEAK DETECTR            
        6105998290064	MOTOR ASSY              
        1015998107994	STRAP                   
        2540998191494	HARNESS,SAFETY,CASUALTY 
        2540998191495	HARNESS,SAFETY,CASUALTY 
        2930998819368	COCK  PLUG                  
        4730661522631	STRAINER ELEMENT,SEDIMEN
        2530992581737	DISC,BRAKE              
        2540992154277	FILLER                  
        2540997231994	CONTAINER,URINE SPECIMEN
        2990990520102	TENSIONERS ASSY         
         
        This requirement will be split into lots.  Suppliers who progress to the",,,"West Midlands","35420000 ",,jason.green@babcockinternational.com,Donnington,,Telford,"TF2 8JT",UK,+441922673921,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Telford: Parts of military vehicles.'.",,,23/01/2017,NO,,Yes,No,No,Products,4500000,10000000,,,,,,,"Restricted ",
BIP50557284,Contract,"Ministry of Defence, DSG, Defence Support Group (DSG)",Closed,2017-01-09T08:57:08Z,"IRM16/1319 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related","Dates to be corrected in the original notice:
        Place of dates to be added: IV.3.4
        Instead of: 16 January 2017 Time: 17:00
        Read: 16 January 2017 Time: 17:00
        Other additional information: The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.The Authority reserves the right to amend any condition related to security of information to reflect any changes in national law or government policy.  If any contract documents are accompanied by instructions on safeguarding classified information (e.g. a Security Aspects Letter), the Authority reserves the right to amend the terms of these instructions to reflect any changes in national law or government policy, whether in respect of the applicable protective marking scheme, specific protective markings given, the aspects to which any protective marking applies, or otherwise.  The link below to the Gov.uk website provides information on the Government Security Classification.
        
        https://www.gov.uk/government/publications/government-security-classifications
        
         Advertising Regime OJEU:- This contract opportunity is published in the Official Journal of the European Union (OJEU),the MoD Defence Contracts Bulletin and www.contracts.mod.uk
        Babcock DSG Limited acting on behalf of the Authority has under consideration a 4 year Framework Agreement for the supply of military parts and associated items which includes but is not limited to the following NSN's.  The Authority may add items of a similar nature to the Framework Agreement if required during the contract period. 
        
        1005997872173	SHAFT,GUN BALANCING     
        1015993867217	LOADER,AUTO TUBE        
        2520993222736	TOP ROLLERS             
        2530990831904	SPINDLE                 
        2530996636208	WHEEL,IDLER             
        2530997861867	HUB,WHEEL,VEH           
        2530997900879	ROLLER ASSEMBLY         
        2530998155827	WHEEL,SOLID             
        2530998178169	WHEEL                   
        2530998267980	BRACKET,VEH COMPONENTS  
        2530998372795	SPINDLE,WHEEL,DRIV/NONDR
        2530998656162	ARM ASSEMBLY            
        2590992553294	TRUNNION                
        2590998275318	HINGE ASSY              
        3020996089885	SPROCKET,WHEEL          
        3020998656310	RING,SPROCKET           
        3040998821477	CONNECTING LINK,RIGID   
        3120999320268	BEARING,SLEEVE          
        4320997900864	RAM,HYDRAULIC           
        5120992560386	CLAMP,TRACK,VEHICULAR   
        5305994242776	SCREW,MACHINE           
        5305995771913	SETSCREW                
        5315992161841	PIN,SHOULDER,HEADLESS   
        5315997871624	PIN,STRAIGHT,HEADLESS   
        5315998608065	PIN                     
        5330999847464	GASKET                  
        5340993124343	PLUG,VENT               
        5340995002269	BRACKET                 
        
        Tenderers shall be provided with NATO Stock Numbers and manufacturers' part numbers and, using ISIS, shall be required to source and price the items in scope fo",,,"West Midlands","35420000 ",,jason.green@babcockinternational.com,Donnington,,Telford,"TF2 8JT",UK,+441922673921,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Telford: Parts of military vehicles.'.",,,23/01/2017,NO,,Yes,No,No,Products,10000000,20000000,,,,,,,"Restricted ",
IRM16/1318,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Closed,2017-02-24T09:57:22Z,"The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related","The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related.",,,"West Midlands,South East","35420000 ",,Lauren.Smith2@babcockinternational.com,"Babcock DSG, Building B15",Donnington,Telford,"TF2 8JT",England,,,"20170223_IRM16 1318_Annex A to Schedule 2_Price List.pdf 20170223_IRM16 1318_Annex B to Schedule  3- Technical Compliance Matrix.pdf 20170223_IRM16 1318_Annex B_Estimated Procurement Timescales.pdf 20170223_IRM16 1318_Annex C to Schedule 2_PO Template.pdf 20170223_IRM16 1318_Compliance Matrix.pdf 20170223_IRM16 1318_Contract Notice.pdf 20170223_IRM16 1318_Corrigedum.pdf 20170223_IRM16 1318_DEFFORM 539A.pdf 20170223_IRM16 1318_ITT.pdf 20170223_IRM16 1318_PQQ.pdf 20170223_IRM16 1318_Quality Plan.pdf 20170223_IRM16 1318_Terms and Conditions.pdf ",,,01/05/2017,01/05/2021,29/03/2017,NO,,Yes,Yes,No,Products,4500000,10000000,,,,,,,"Restricted ",
IRM16/1317,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Closed,2017-02-24T12:12:28Z,"The Supply of Military Related Spare Parts & Associated Items - Major Platform Related","The Supply of Military Related Spare Parts and Associated Items - Major Platform Related.",,,"West Midlands,South East","35420000 ",,alan.jones2@babcockinternational.com,"Babcock DSG",Donnington,Telford,"TF2 8JT",England,,,"20170217_IRM16 1317- ITT.pdf 20170217_IRM16 1317-Annex A to Schedule 2 - Price List.pdf 20170217_IRM16 1317-Annex B to Schedule 3 - Technical Compliance Matrix.pdf 20170217_IRM16 1317-Annex C to Schedule 2 - PO Template.pdf 20170217_IRM16 1317-Compliance Matrix.pdf 20170217_IRM16 1317-DEFFORM 539A.pdf 20170217_IRM16 1317-Quality Plan.pdf 20170217_IRM16 1317-Terms and Conditions.pdf 20170224_IRM16 1317 - Contract Notice.pdf 20170224_IRM16 1317 - Corrigendum.pdf 20170224_IRM16 1317 - PQQ.pdf 20170224_IRM16 1317-Annex B - Estimated Procurement Timescales.pdf ",,,01/05/2017,30/04/2022,29/03/2017,NO,,Yes,Yes,No,Products,4500000,10000000,,,,,,,"Restricted ",
IRM16/1316,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Closed,2017-02-24T14:16:47Z,"The Supply of Military Related Spare Parts and Associated Items - Electronic Components","The Supply of Military Related Spare Parts and Associated Items - Electronic Components.",,,"West Midlands,South East","35420000 ",,Ben.Souch@babcockinternational.com,"Babcock DSG, Building B15",Donnington,Telford,"TF2 8JT",England,,,"20170224_IRM16 1316 - Contract Notice.pdf 20170224_IRM16 1316 - Corrigendum.pdf 20170224_IRM16 1316-Annex A to Schedule 2 - Price List.pdf 20170224_IRM16 1316-Annex B - Estimated Procurement Timescales.pdf 20170224_IRM16 1316-Annex B to Schedule 3 - Technical Compliance Matrix.pdf 20170224_IRM16 1316-Annex C to Schedule 2 - PO Template.pdf 20170224_IRM16 1316-Compliance Matrix.pdf 20170224_IRM16 1316-DEFFORM 539A.pdf 20170224_IRM16 1316-ITT.pdf 20170224_IRM16 1316-PQQ.pdf 20170224_IRM16 1316-Quality Plan.pdf 20170224_IRM16 1316-Terms and Conditions.pdf ",,,01/05/2017,01/05/2022,29/03/2017,NO,,Yes,Yes,No,Products,4500000,10000000,,,,,,,"Restricted ",
IRM16/1315,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Closed,2017-02-24T14:37:47Z,"SUPPLY OF MILITARY RELATED SPARE PARTS AND ASSOCIATED ITEMS","SUPPLY OF MILITARY RELATED SPARE PARTS AND ASSOCIATED ITEMS.",,,"West Midlands,South East","35420000 ",,Robert.Fisher@babcockinternational.com,"Babcock DSG, Building B15",Donnington,Telford,"TF2 8JT",England,,,"20170217_IRM16 1315- Contract Notice.pdf 20170217_IRM16 1315-Annex A to Schedule 2 - Price List.pdf 20170217_IRM16 1315-Annex B to Schedule 3 - Technical Compliance Matrix.pdf 20170217_IRM16 1315-Compliance Matrix.pdf 20170217_IRM16 1315-DEFFORM 539A.pdf 20170217_IRM16 1315-ITT.pdf 20170217_IRM16 1315-Quality Plan.pdf 20170217_IRM16 1315-Terms and Conditions.pdf 20170217-IRM16 1315 - PQQ.pdf 20170217-IRM16 1315_Annex C to Schedule 2 - PO Template.pdf 20170224_IRM16 1315-Contract Notice Corrigendum.pdf 20170224_IRM16 1315-Transparency Annex B.pdf ",,,01/05/2017,30/04/2022,29/03/2017,NO,,Yes,Yes,No,Products,869716,4500000,,,,,,,"Restricted ",
IRM16/1319,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Closed,2017-03-01T09:02:34Z,"SUPPLY OF MILITARY PARTS AND ASSOCIATED ITEMS - MECHANICAL/FABRICATED PARTS RELATED","SUPPLY OF MILITARY PARTS AND ASSOCIATED ITEMS - MECHANICAL/FABRICATED PARTS RELATED.",,,"West Midlands,South East","35420000 ",,Robert.Fisher@babcockinternational.com,"Babcock DSG, Building B15",Donnington,Telford,"TF2 8JT",England,,,"20170206_ IRM16 1319_ITT (2).pdf 20170206_IRM16 1319_Terms and Conditions.pdf 20170217_IRM16 1319_Annex A to Schedule 2 - Price List.pdf 20170217_IRM16 1319_Annex B to Schedule 3 - Technical Compliance Matrix.pdf 20170217_IRM16 1319_Annex C to Schedule 2 - PO Template.pdf 20170217_IRM16 1319_Compliance Matrix.pdf 20170217_IRM16 1319_DEFFORM 539A.pdf 20170217_IRM16 1319_Quality Plan.pdf 20170301_IRM16 1319_Corrigendum.pdf 20170301_IRM16 1319_PQQ.pdf 20170301_IRM16 1319_Transparency Annex B.pdf 20170301_IRM161319_Contract Notice.pdf ",,,01/05/2017,30/04/2021,29/03/2017,NO,,Yes,Yes,No,Products,10000000,20000000,,,,,,,"Restricted ",
JFC9/00013,Contract,"MINISTRY OF DEFENCE",Awarded,2017-04-26T14:05:40Z,"TRANSPARENCY NOTICE ONLY - English Language Training (ELT) to UK Sponsored International Military Personnel & Civilian Officials","Provide British military English language training to UK sponsored International Defence Forces and self funded personnel to promote International Security Cooperation.",,"SN6 8LA",,"80000000 ",,sallko.hq@da.mod.uk,"Defence Academy of the UK","Greenhill House, Room 5","Shrivenham, Swindon","SN6 8LA",England,,,"20170426-DCLC ELT Contract-O-(REDACTED-Transparency).doc ",,,01/04/2017,31/03/2019,15/03/2017,NO,,Yes,No,No,Services,11724461,11724461,03/04/2017,11724461,"[Capita Business Services Limited|4th Floor Barnards Inn
86 Fetter Lane
London
EC4A 1EN|||No|No]",,04/04/2017,31/03/2019,"Other ",
IRM17/4660,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Awarded,2017-06-29T09:44:45Z,"The Supply of Military Spare Parts","IRM17/4660- The Supply of Military Spare Parts and Associated Items.",,"TF2 8JT",,"35420000 ",,Lauren.Smith2@babcockinternational.com,"Babcock I&RM, Bldg B15",,Telford,"TF2 8JT",England,,,"ANNEX C PROCUREMENT TIMESCALES.pdf IRM17 4660_Terms and Conditions.pdf IRM17 4660_Terms and Conditions.pdf ",,,14/06/2017,13/06/2022,29/03/2017,NO,,Yes,No,No,Products,905550,0,01/06/2017,905550,"[Cook Defence Systems Ltd|Stanhope, County Durham DL13 2YR|||No|No]",,14/06/2017,13/06/2022,"Restricted ",
IRM17/4661,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Awarded,2017-06-29T10:40:29Z,"The Supply of Military Spare Parts","IRM17/4661- The Supply of Military Spare Parts and Associated Items.",,"TF2 8JT",,"35420000 ",,Lauren.Smith2@babcockinternational.com,"Babcock I&RM, Bldg B15","MOD Donnington",Telford,"TF2 8JT",England,,,"ANNEX C PROCUREMENT TIMESCALES.pdf IRM17 4661_Annex A to Schedule 2_Price List.pdf IRM17 4661_Terms and Conditions.pdf ",,,15/06/2017,14/06/2022,29/03/2017,NO,,Yes,No,No,Products,736324,0,01/06/2017,736324,"[Aviation Jersey Ltd|Seacroft, La Grande Route de la Cote, St Clement, Jersey LE2 6SB|||No|No]",,15/06/2017,15/06/2022,"Restricted ",
IRM17/4662,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Awarded,2017-06-29T11:23:55Z,"The Supply of Military Spare Parts and Associated Items","IRM17/4662 - The Supply of Military Spare Parts and Associated Items.",,"TF2 8JT",,"35420000 ",,Lauren.Smith2@babcockinternational.com,"Babcock I&RM, Bldg B15","MOD Donnington",Telford,"TF2 8JT",England,,,"ANNEX C PROCUREMENT TIMESCALES.pdf IRM17 4662_Annex A to Schedule 2_Price List.pdf IRM17 4662_Terms and Conditions.pdf ",,,14/06/2017,13/06/2022,29/03/2017,NO,,Yes,No,No,Products,2327112,0,01/06/2017,2327112,"[Repaircraft PLC|The Common, Cranleigh, Surrey GU6 8LU|||No|No]",,14/06/2017,13/06/2022,"Restricted ",
IRM16/1319/A,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Awarded,2017-06-29T13:26:24Z,"The Supply of Military Spare Parts and Associated Items","IRM16/1319- The Supply of Military Spare Parts and Associated Items",,"TF2 8JT",,"35420000 ",,Andrew.Johnson1@babcockinternational.com,"Babcock I&RM, Bldg B15","MOD Donnington",Telford,"TF2 8JT",England,,,"Annex A to Schedule 2.pdf Annex C - Procurement Timescales.pdf Terms and Conditions.pdf ",,,31/05/2017,29/05/2021,29/03/2017,NO,,Yes,No,No,Products,13885400,0,30/05/2017,13885400,"[Llanelec Precision Engineering Company Limited|Jenkins Road, Neath Abbey Business Park, Skewen, Neath SA10 7GA|||No|No]",,31/05/2017,29/05/2021,"Restricted ",
IRM17/4673,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Awarded,2017-07-03T10:27:13Z,"The Supply of Military Spare Parts and Associated Items","IRM17/4673- The Supply of Military Spare Parts and Associated Items.",,"TF2 8JT",,"35420000 ",,Andrew.Johnson1@babcockinternational.com,"Babcock I&RM, Building B15","MOD Donnington",Telford,"TF2 8JT",England,,,"Annex A to Schedule 2.pdf Annex C - Procurement Timescales.pdf Terms and Conditions IRM17_2473.pdf ",,,26/06/2017,25/06/2021,29/03/2017,NO,,Yes,No,No,Products,638328,0,23/06/2017,638328,"[Millstream (Penthouse Systems) Limited|Unit 6, Beverley Trading Estate, 190 - 192 Garth Road, Morden, Surrey SM4 4LU|||No|No]",,26/06/2017,25/06/2021,"Restricted ",
IRM17/4671,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Awarded,2017-07-03T10:46:52Z,"The Supply of Military Spare Parts and Associated Items","IRM17/4671- The Supply of Military Spare Parts and Associated Items.",,"TF2 8JT",,"35420000 ",,Andrew.Johnson1@babcockinternational.com,"Babcock I&RM, Building B15","MOD Donnington",Telford,"TF2 8JT",England,,,"20170623__Terms and Conditions_CMCA_IRM17_4671.pdf Annex A to Schedule 2.pdf Annex C - Procurement Timescales.pdf ",,,26/06/2017,25/06/2021,29/03/2017,NO,,Yes,No,No,Products,462325,0,23/06/2017,462325,"[CMCA UK Ltd|Brindley Court, Gresley Road, Worcester WR4 9FD|||No|No]",,26/06/2017,25/06/2021,"Restricted ",
IRM17/2407,Contract,"BABCOCK INTERNATIONAL GROUP PLC",Closed,2017-09-06T10:02:35Z,"The Supply of Military Vehicle Parts and Associated Items","The Supply of Military Vehicle Parts and Associated Items.",,,"West Midlands","35420000 ",,Lauren.Smith2@babcockinternational.com,"Babcock I&RM, Bldg B15","MOD Donnington",Telford,"TF2 8JT",England,,,"CONTRACT NOTICE IRM17 2407.pdf IRM17 2407 ANNEX B PROCUREMENT TIMESCALES.pdf IRM17 2407_Annex A to Clause K4 of Terms and Conditions.pdf IRM17 2407_Annex A to Sch 2 - Price List.pdf IRM17 2407_Annex B to Sch 2 - Technical Compliance Matrix.pdf IRM17 2407_Annex B to Sch 3 - Quality Plan.pdf IRM17 2407_Annex D to Schedule 2 - BAAN Purchase Order Form.pdf IRM17 2407_Compliance Matrix.pdf IRM17 2407_DF28 Tender Return Label.pdf IRM17 2407_DF539A_Edn 0813.pdf IRM17 2407_Invitation To Tender.pdf IRM17 2407_Terms and Conditions.pdf PQQ IRM17 2407.pdf ",,,15/11/2017,14/10/2023,11/10/2017,NO,,Yes,Yes,No,Products,4500000,10000000,,,,,,,"RestrictedOJEU ",
BIP56672412,Contract,"Ministry of Defence, C&C, Defence Medical Services (DMS)",Closed,2017-09-10T15:54:06Z,"JFC6C/00028 for the Provision of Pulmonary Function Testing for Military Divers","Contract for the Provision of Pulmonary Function Testing for Military Divers",,,"Any region","79625000 ",,DEFComrclCC-JFC7b@mod.uk,"DMS Whittington",,Lichfield,"WS14 9PY",UK,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Lichfield: Supply services of medical personnel.'.",01/01/2018,31/12/2020,12/10/2017,NO,,Yes,Yes,No,Services,0,0,,,,,,,"Open ",
